fid,renabap_id,nombre_barrio,provincia,departamento,localidad,cantidad_familias_aproximada,cantidad_viviendas_aproximadas,decada_de_creacion,anio_de_creacion,energia_electrica,efluentes_cloacales,agua_corriente,cocina,calefaccion,situacion_dominial,clasificacion_barrio,superficie_m2,WKT
5194,5560,Paraíso,Misiones,25 de Mayo,25 De Mayo,31,28,Década 2010,2010,Conexión formal a la red con medidor domiciliario con factura,Desagüe sólo a pozo negro/ciego u hoyo,Bomba de agua de pozo comunitaria,Leña o carbón,Inexistente,NO,Asentamiento,44502,"MULTIPOLYGON (((-54.7578216261971 -27.384973862693,-54.7602919085891 -27.384577297144,-54.7607152494207 -27.3843815090089,-54.7619504030943 -27.3843455253872,-54.7620610829688 -27.3846013537372,-54.7633529466643 -27.3844741208421,-54.7634627618988 -27.3849730713837,-54.7611197911113 -27.3853034863533,-54.7590724832858 -27.3854971262565,-54.7581439646746 -27.3857077971461,-54.7578216261971 -27.384973862693)))"
5195,5561,Don Abel,Misiones,25 de Mayo,25 De Mayo,39,35,Década 2010,2012,Conexión formal a la red con medidor domiciliario con factura,Desagüe sólo a pozo negro/ciego u hoyo,Bomba de agua de pozo comunitaria,Leña o carbón,Inexistente,NO,Villa,59559,"MULTIPOLYGON (((-54.7623706466556 -27.3344483826286,-54.7604980779314 -27.3340972437046,-54.7590075685795 -27.3337563925658,-54.7587265618958 -27.3323387463908,-54.7587862929348 -27.3322081795608,-54.7602325552713 -27.3326024696397,-54.7602814795926 -27.3321589207096,-54.7614091874783 -27.3324043501934,-54.7613146592976 -27.3328489682488,-54.7622401128269 -27.3330597825534,-54.7623706466556 -27.3344483826286)))"
5196,5562,La Laje,Misiones,25 de Mayo,Paraje Itatí,28,25,Década 2010,2012,Conexión a la red con medidor compartido,Desagüe sólo a pozo negro/ciego u hoyo,Bomba de agua de pozo comunitaria,Leña o carbón,Inexistente,NO,Asentamiento,74426,"MULTIPOLYGON (((-54.6691977999559 -27.3210370776535,-54.6692104103476 -27.3212312776847,-54.6688923624639 -27.3229114293741,-54.6688937044381 -27.3231019897095,-54.6689353056381 -27.3231865340837,-54.6690936585928 -27.3232885241223,-54.6694506237281 -27.3234173536448,-54.669770013586 -27.323613281877,-54.6700464602697 -27.3239353556833,-54.67014576636 -27.324246693696,-54.6676241968517 -27.3254450766502,-54.6671400796616 -27.324859304915,-54.6677731559871 -27.3238508113091,-54.6679009790289 -27.3225524512776,-54.6684565563448 -27.3216425927748,-54.6688833041381 -27.3211514302203,-54.6690757014543 -27.3210674750277,-54.6690869487218 -27.3209118878269,-54.6689795907864 -27.3207535348721,-54.6687165638446 -27.3205066116206,-54.6680804680772 -27.3200047132725,-54.6678711201032 -27.3198597800597,-54.6677261868903 -27.3196906913114,-54.6682468728772 -27.3192451558794,-54.6692211461411 -27.3201496464853,-54.6693124003862 -27.3204556166013,-54.6692291979863 -27.3208125817366,-54.6691977999559 -27.3210370776535)))"
5197,5563,Ringo,Misiones,25 de Mayo,San Francisco De Asís,17,15,Década 2010,2010,Conexión formal a la red con medidor domiciliario con factura,Desagüe a cámara séptica y pozo ciego,Bomba de agua de pozo comunitaria,Leña o carbón,Inexistente,NO,Asentamiento,12128,"MULTIPOLYGON (((-54.7456855321097 -27.4516262594795,-54.7454544130576 -27.4516672172862,-54.7448049392658 -27.4522464776952,-54.7446396452602 -27.4524995384294,-54.7444992184944 -27.4529968832249,-54.7456255581784 -27.453034915474,-54.7456855321097 -27.4516262594795)))"
5198,5564,Ex Ruta 14,Misiones,Cainguás,Campo Grande,77,70,Década 1990,,Conexión formal a la red con medidor domiciliario con factura,Desagüe sólo a pozo negro/ciego u hoyo,Bomba de agua de pozo comunitaria,Leña o carbón,Inexistente,NO,Asentamiento,43296,"MULTIPOLYGON (((-54.9668667824726 -27.1968036115735,-54.9676316384133 -27.197198687208,-54.9685918730568 -27.1975120990831,-54.970267652834 -27.1982939397252,-54.9707476731712 -27.1984237643539,-54.9716793092123 -27.1988794019161,-54.971219575844 -27.1996223188762,-54.9712748691512 -27.2004751980669,-54.9715661613284 -27.2010771620895,-54.9710986510427 -27.201422150508,-54.9710063301763 -27.2008934856627,-54.9708468428154 -27.2002850577662,-54.9704141555588 -27.2002745788798,-54.9702122616399 -27.199559974098,-54.9701166089605 -27.1987510381464,-54.9666895633882 -27.1970292788357,-54.9668667824726 -27.1968036115735)))"
5199,5565,Olería,Misiones,Cainguás,Campo Grande,44,40,Década 2010,2015,Conexión formal a la red con medidor domiciliario con factura,Desagüe sólo a pozo negro/ciego u hoyo,Camión cisterna,Leña o carbón,Inexistente,NO,Asentamiento,31779,"MULTIPOLYGON (((-54.9786124456193 -27.1901172575001,-54.97871761975 -27.1908473249295,-54.978908231173 -27.1909511078586,-54.9788055661401 -27.1911212340004,-54.9792217051373 -27.1912788112384,-54.9794470057301 -27.1913150862793,-54.9796479696307 -27.1913150812968,-54.9798169291971 -27.1912847091141,-54.9794465066196 -27.191983537207,-54.9789819408464 -27.1917971814025,-54.978913229041 -27.1919124033395,-54.9787529899314 -27.1921622140862,-54.9786146118071 -27.1923320329273,-54.9784710799401 -27.1924637995757,-54.9781758535772 -27.1924684596842,-54.9778537512219 -27.1922646828921,-54.9774198992718 -27.1921864860531,-54.9770110778947 -27.192141298002,-54.9776472604155 -27.1912865251187,-54.9777090144423 -27.1911234255559,-54.9785238489116 -27.1900453242914,-54.9786124456193 -27.1901172575001)))"
5200,5566,Reserva,Misiones,Cainguás,Campo Grande,66,60,Década 2010,2013,Conexión formal a la red con medidor domiciliario con factura,Desagüe sólo a pozo negro/ciego u hoyo,Conexión irregular a la red de agua,Gas en garrafa,Inexistente,NO,Asentamiento,39515,"MULTIPOLYGON (((-54.9818369237409 -27.1971870707808,-54.9816645123986 -27.1974139278101,-54.982028115816 -27.1976217011914,-54.9819969498088 -27.1977567538893,-54.9818307311037 -27.1979541386016,-54.980578896481 -27.1995799653108,-54.9793634222 -27.1988163981343,-54.9808541962113 -27.1968529396804,-54.9813061033158 -27.1972269317668,-54.9815034880281 -27.1969879923783,-54.9818369237409 -27.1971870707808)))"
5201,5567,Aeroclub,Misiones,Cainguás,Campo Grande,22,20,Década 1980,,Conexión irregular a la red,Desagüe sólo a pozo negro/ciego u hoyo,Conexión irregular a la red de agua,Leña o carbón,Inexistente,NO,Asentamiento,7128,"MULTIPOLYGON (((-54.9790942481521 -27.1976401067073,-54.9789278475783 -27.1978605507109,-54.9771200964968 -27.1965660405167,-54.9769705435917 -27.1965616421683,-54.976755955447 -27.1964299630795,-54.9769640409207 -27.1961857064981,-54.9772749498804 -27.196378348128,-54.9784881044485 -27.1972618985572,-54.9790942481521 -27.1976401067073)))"
5202,5568,Sin Nombre,Misiones,Cainguás,Dos de Mayo Núcleo II,19,17,Década 2010,2016,Conexión formal a la red con medidor domiciliario con factura,Desagüe sólo a pozo negro/ciego u hoyo,Bomba de agua de pozo domiciliaria,Gas en garrafa,Leña o carbón,NO,Asentamiento,58945,"MULTIPOLYGON (((-54.6673888796383 -27.0437175871672,-54.6648024695314 -27.0468199114305,-54.6642892144354 -27.0464219334334,-54.6639080478631 -27.0460499891538,-54.6632323791994 -27.0464454026929,-54.6629479512447 -27.0459869934183,-54.6634543937919 -27.0458026369474,-54.6631928158927 -27.0454120635903,-54.6643154187109 -27.0449096008417,-54.667043694773 -27.0435005236303,-54.6673888796383 -27.0437175871672)))"
5203,5569,Bernardino Rivadavia,Misiones,Cainguás,Dos De Mayo Núcleo III (Bº Bernardino Rivadavia),55,50,Década 2000,,Conexión formal a la red con medidor domiciliario con factura,Desagüe sólo a pozo negro/ciego u hoyo,Conexión irregular a la red de agua,Gas en garrafa,Inexistente,NO,Asentamiento,49995,"MULTIPOLYGON (((-54.6048207814215 -27.015300832856,-54.6048913884839 -27.0152403125169,-54.6050250375661 -27.0152806594096,-54.6053749207768 -27.0152705726864,-54.6058647572718 -27.0151879876403,-54.6061099907294 -27.0152150957089,-54.6063106905044 -27.0152685210656,-54.6065481327681 -27.0149780577139,-54.6077610612319 -27.0157043017837,-54.6081796602444 -27.0162943750904,-54.6082618281543 -27.0164153071034,-54.6077835204361 -27.0168281569203,-54.6076509044312 -27.0167085276343,-54.6063570805316 -27.017496679012,-54.6048207814215 -27.015300832856)))"
5204,5570,Prestes,Misiones,Cainguás,Pueblo Illia,22,20,Década 2000,,Conexión irregular a la red,Desagüe sólo a pozo negro/ciego u hoyo,"Vertiente, arroyo, río o canal",Leña o carbón,Inexistente,NO,Asentamiento,21829,"MULTIPOLYGON (((-54.5573591979554 -27.1421412769517,-54.5572563447955 -27.1419753847584,-54.556397 -27.141779,-54.5557699507435 -27.1422540836431,-54.5556040585502 -27.1426024572491,-54.5555874693309 -27.1429641022305,-54.5569013355019 -27.1434451895911,-54.5569511031599 -27.1431764442379,-54.5571004061338 -27.1428546133829,-54.5572895232342 -27.1426190464684,-54.5574056477695 -27.1423005334572,-54.5573591979554 -27.1421412769517)))"
5205,5571,Olería,Misiones,Cainguás,Pueblo Illia,33,30,Década 2000,,Conexión formal a la red con medidor domiciliario con factura,Desagüe sólo a pozo negro/ciego u hoyo,Bomba de agua de pozo comunitaria,Leña o carbón,Leña o carbón,NO,Asentamiento,96036,"MULTIPOLYGON (((-54.565143352106 -27.1566109101126,-54.565097416624 -27.1562234984688,-54.5650111671913 -27.1558798174912,-54.5648240573136 -27.1553173982371,-54.5646718418651 -27.1548501295843,-54.5643888682117 -27.1543384089146,-54.5642591505474 -27.1540091734566,-54.5642602532933 -27.1533639534234,-54.5643129635768 -27.1528330245159,-54.5642605843002 -27.1525211115228,-54.5640434530402 -27.1519844040241,-54.5637373468366 -27.1512407169866,-54.5636544204541 -27.150909363472,-54.5636382202506 -27.1508198673158,-54.5650944287957 -27.151260545204,-54.5665055521116 -27.151688995777,-54.5663261450374 -27.1522667856366,-54.5649711616461 -27.1520366887642,-54.5659483993995 -27.1546433362838,-54.5664636474606 -27.1545619668521,-54.5673422795524 -27.1556273772569,-54.5661524255078 -27.1560587537678,-54.5660395021152 -27.1567104296638,-54.565143352106 -27.1566109101126)))"
5206,5572,Malvinas,Misiones,Cainguás,Pueblo Illia,17,15,Década 2010,2013,Conexión formal a la red con medidor domiciliario con factura,Desagüe sólo a pozo negro/ciego u hoyo,Bomba de agua de pozo comunitaria,Leña o carbón,Leña o carbón,NO,Asentamiento,35524,"MULTIPOLYGON (((-54.5699650478537 -27.1630876905071,-54.5699570649645 -27.1633512139652,-54.5703422278754 -27.1633921704537,-54.5703268889207 -27.1637354174204,-54.5699288867025 -27.1637582362991,-54.5699030859364 -27.1652148429284,-54.5700968380744 -27.1652233503816,-54.5700394449822 -27.1666027652182,-54.5691574139472 -27.166602757172,-54.5692850937988 -27.1633306484868,-54.5694042595524 -27.1630819578635,-54.570381044464 -27.1621544657182,-54.5706182026943 -27.1624737171821,-54.5699650478537 -27.1630876905071)))"
5207,5573,Luz Y Fuerza,Misiones,Cainguás,Pueblo Illia,33,30,Década 2010,2012,Conexión formal a la red con medidor domiciliario con factura,Desagüe sólo a pozo negro/ciego u hoyo,Bomba de agua de pozo comunitaria,Leña o carbón,Inexistente,NO,Asentamiento,61411,"MULTIPOLYGON (((-54.561681642836 -27.1497266740793,-54.561562023625 -27.149750077838,-54.560329425668 -27.1534894783911,-54.5604230407027 -27.1535258842379,-54.5598925555061 -27.1549613147701,-54.5600329780581 -27.1549925197817,-54.5607324904008 -27.1550835343987,-54.5619000779171 -27.1529719952825,-54.5620300987986 -27.1513129288341,-54.5623317472438 -27.1500699292066,-54.561681642836 -27.1497266740793)))"
5208,5574,Antena,Misiones,Cainguás,Pueblo Illia,11,10,Década 2010,2017,Conexión formal a la red con medidor domiciliario con factura,Desagüe sólo a pozo negro/ciego u hoyo,Bomba de agua de pozo comunitaria,Leña o carbón,Leña o carbón,NO,Asentamiento,21272,"MULTIPOLYGON (((-54.5630698590229 -27.1525676044593,-54.5625385765452 -27.1524024157898,-54.5625475056625 -27.1522595499135,-54.5621501599439 -27.1522149043271,-54.5621814118543 -27.1531167451716,-54.5621635536198 -27.1535140908901,-54.5618510345153 -27.1540587670437,-54.5621590890612 -27.154165916451,-54.5622439156752 -27.1544650418796,-54.562958245057 -27.1543980735,-54.5629314577052 -27.1539516176365,-54.5631457565197 -27.1539248302846,-54.5630698590229 -27.1525676044593)))"
5209,5575,Sin Nombre,Misiones,Eldorado,9 De Julio Kilómetro 20,24,22,Década 1980,,Conexión formal a la red con medidor domiciliario con factura,Desagüe sólo a pozo negro/ciego u hoyo,Bomba de agua de pozo comunitaria,Leña o carbón,Inexistente,NO,Asentamiento,20586,"MULTIPOLYGON (((-54.5061805151258 -26.4139980091552,-54.5059926877764 -26.4142246973356,-54.5057919068166 -26.4144076670812,-54.5032206151702 -26.414888569864,-54.5032076615599 -26.4145938752294,-54.5039622093604 -26.414221458933,-54.5047588563944 -26.4139591483243,-54.5055716954413 -26.4133470902372,-54.5061805151258 -26.4139980091552)))"
5210,5576,Inmaculada,Misiones,Eldorado,9 De Julio Kilómetro 20,110,100,Década 1990,,Conexión formal a la red con medidor domiciliario con factura,Desagüe sólo a pozo negro/ciego u hoyo,Bomba de agua de pozo comunitaria,Leña o carbón,Inexistente,NO,Asentamiento,200490,"MULTIPOLYGON (((-54.4990194232514 -26.4209539565222,-54.497807983242 -26.4209539565222,-54.4977815821767 -26.4215617713365,-54.4939815625548 -26.4216329316661,-54.4936241582036 -26.4226600976074,-54.4937797099142 -26.4233445673289,-54.4944479316473 -26.4235317252532,-54.4947666099885 -26.4238420510176,-54.4949656034639 -26.4239200349471,-54.4951188822221 -26.4239146567451,-54.4955867857995 -26.4239334804522,-54.4958664523056 -26.424178188645,-54.4959982182556 -26.4244605442521,-54.4959590211511 -26.4251320440792,-54.4958503176995 -26.425665261509,-54.4954603980516 -26.425662572408,-54.4954496416475 -26.4263160239558,-54.4970631022595 -26.4263509822691,-54.4971868009064 -26.4253210565785,-54.4981805607677 -26.4252440355407,-54.4989051364581 -26.4250440791734,-54.4989589184785 -26.4248397074959,-54.498899758256 -26.4238070927043,-54.4989965658927 -26.4232800289044,-54.4990499317646 -26.4215113285447,-54.4990194232514 -26.4209539565222,-54.4990194232514 -26.4209539565222)))"
5211,5577,Nolf,Misiones,Eldorado,9 De Julio Kilómetro 20,28,25,Década 2000,,Conexión formal a la red con medidor domiciliario con factura,Desagüe sólo a pozo negro/ciego u hoyo,Bomba de agua de pozo comunitaria,Leña o carbón,Inexistente,NO,Asentamiento,31250,"MULTIPOLYGON (((-54.4940797585407 -26.4102340067979,-54.4940627641831 -26.4117436722292,-54.49298645487 -26.4117748285514,-54.49298645487 -26.411069562712,-54.4915985823347 -26.4110440711756,-54.4916099119064 -26.4102056828686,-54.4940797585407 -26.4102340067979)))"
5212,5578,Primero de Mayo,Misiones,Eldorado,9 De Julio Kilómetro 20,50,45,Década 1980,,Conexión formal a la red con medidor domiciliario con factura,Desagüe sólo a pozo negro/ciego u hoyo,Bomba de agua de pozo comunitaria,Gas en garrafa,Inexistente,NO,Asentamiento,139038,"MULTIPOLYGON (((-54.5052793530249 -26.419352426455,-54.5040492651353 -26.4193131624972,-54.504038399511 -26.4220895224404,-54.50172636673 -26.4221075961227,-54.5016537867405 -26.4250020486231,-54.5026972268267 -26.4259994746843,-54.5040147531087 -26.4260343048105,-54.5041326285855 -26.4222881639686,-54.5053438740861 -26.4221684495312,-54.5053611890214 -26.4208071577029,-54.5052793530249 -26.419352426455)))"
5213,5579,Ex Madin,Misiones,Eldorado,9 De Julio Kilómetro 20,39,35,Década 2010,2010,Conexión a la red con medidor compartido,Desagüe sólo a pozo negro/ciego u hoyo,Bomba de agua de pozo comunitaria,Gas en garrafa,Inexistente,NO,Villa,50403,"MULTIPOLYGON (((-54.5017789263386 -26.4157327340543,-54.5020419440232 -26.4156642631797,-54.5020426578248 -26.4169067576185,-54.5016494967547 -26.4169145957331,-54.5016269584785 -26.4181209976495,-54.5015372317238 -26.4189411433355,-54.5014762693211 -26.4191206898858,-54.5013349818999 -26.4192810169839,-54.5009436535966 -26.4190118802114,-54.5009365506079 -26.4185254693897,-54.5004370776786 -26.4184738716757,-54.5004271906575 -26.4180627772321,-54.5002961138663 -26.4177233942309,-54.5002258664632 -26.4166330395185,-54.5003498290959 -26.4157168822373,-54.5017789263386 -26.4157327340543)))"
5214,5580,Santa Catalina,Misiones,Eldorado,9 De Julio Kilómetro 20,33,30,Década 2000,,Conexión formal a la red con medidor domiciliario con factura,Desagüe sólo a pozo negro/ciego u hoyo,Bomba de agua de pozo comunitaria,Leña o carbón,Inexistente,NO,Asentamiento,73382,"MULTIPOLYGON (((-54.5076765121651 -26.4032416669484,-54.5071556556459 -26.4031547617329,-54.5071529910819 -26.4017717667975,-54.5068144100766 -26.4017742674205,-54.5068089651139 -26.4015205909329,-54.5061476568989 -26.3983137156534,-54.5064695849027 -26.3982880102308,-54.5066189172925 -26.3992280180387,-54.5073318357893 -26.3995992397915,-54.5081244222221 -26.3998892947261,-54.5081369655165 -26.402377447613,-54.5081556773888 -26.4027977357853,-54.5083134523233 -26.4034036959674,-54.5084558727056 -26.4037238917192,-54.5090119744332 -26.4037692225439,-54.5091763086313 -26.4042672111237,-54.5086912973271 -26.40426837067,-54.5089496671876 -26.4048525176839,-54.5082847727631 -26.4049999919275,-54.5080501763929 -26.4049378516551,-54.5076765121651 -26.4032416669484)))"
5215,5581,Jardín,Misiones,Eldorado,Colonia Victoria,77,70,Década 2000,,Conexión formal a la red con medidor domiciliario con factura,Desagüe sólo a pozo negro/ciego u hoyo,Bomba de agua de pozo comunitaria,Leña o carbón,Inexistente,NO,Asentamiento,101257,"MULTIPOLYGON (((-54.6236789887581 -26.3324900643838,-54.6235993984945 -26.3320260498666,-54.621620800323 -26.3319652683121,-54.6201929168781 -26.3319085375388,-54.6200735578876 -26.334145413435,-54.6205987272643 -26.3341774905859,-54.620686854292 -26.3328817908013,-54.6218832695736 -26.3329794582244,-54.62191513984 -26.3324026547822,-54.6236789887581 -26.3324900643838)),((-54.6271644112288 -26.3334582039767,-54.6272888023691 -26.3318122335724,-54.6249646576963 -26.3317119741373,-54.6249991239329 -26.3298666671573,-54.6235996971469 -26.3300239079625,-54.6241305236581 -26.3312757733204,-54.6244481976091 -26.3316943746831,-54.624962378729 -26.3320583219528,-54.624930533394 -26.332790612778,-54.624761595421 -26.3329020810832,-54.6249162670242 -26.3336074246407,-54.6271644112288 -26.3334582039767)))"
5216,5582,Unión,Misiones,Eldorado,Colonia Victoria,55,50,Década 2010,2012,Conexión formal a la red con medidor domiciliario con factura,Desagüe sólo a pozo negro/ciego u hoyo,Bomba de agua de pozo comunitaria,Gas en garrafa,Inexistente,NO,Asentamiento,55391,"MULTIPOLYGON (((-54.6183318007668 -26.3317803371416,-54.6183804285037 -26.3325583809316,-54.6183627456903 -26.3328634094629,-54.6176023847137 -26.3328324645394,-54.6173901909528 -26.3339862681143,-54.6200735578876 -26.334145413435,-54.6201929168781 -26.3319085375388,-54.6183318007668 -26.3317803371416)))"
5217,5583,San Miguel,Misiones,Eldorado,Colonia Victoria,22,20,Década 2010,2010,Conexión formal a la red con medidor domiciliario con factura,Desagüe sólo a pozo negro/ciego u hoyo,Bomba de agua de pozo comunitaria,Leña o carbón,Inexistente,NO,Asentamiento,34825,"MULTIPOLYGON (((-54.6178771119206 -26.3234836857116,-54.6177753412585 -26.3251276733307,-54.6169337761678 -26.3248067043194,-54.6166206356689 -26.3250846165121,-54.6160648112834 -26.3249358747752,-54.6161665819455 -26.3244622497706,-54.6152819600361 -26.3242117373715,-54.615313274086 -26.3237459408794,-54.6163153236825 -26.3237968262105,-54.6163701232698 -26.3230961743442,-54.6167302348435 -26.3231196598816,-54.6167419776122 -26.3234093148431,-54.6178771119206 -26.3234836857116)))"
5218,5584,Luján,Misiones,Eldorado,Colonia Victoria,17,15,Década 1980,,Conexión formal a la red con medidor domiciliario con factura,Desagüe sólo a pozo negro/ciego u hoyo,Bomba de agua de pozo comunitaria,Gas en garrafa,Inexistente,NO,Asentamiento,26525,"MULTIPOLYGON (((-54.6225963344141 -26.3243881657016,-54.6225796619488 -26.3246632613793,-54.6222239826888 -26.3246688188677,-54.6222073102234 -26.3249494720338,-54.6223323537133 -26.3249689232434,-54.6223462474344 -26.3255205039708,-54.6215487478436 -26.3254996633892,-54.6210652463495 -26.3252245677115,-54.6206234260187 -26.3253635049224,-54.6199982085694 -26.3251134179427,-54.6200093235463 -26.3243270333288,-54.6225963344141 -26.3243881657016)))"
5219,5585,Parehjá,Misiones,Eldorado,Colonia Victoria,30,27,Década 2000,,Conexión formal a la red con medidor domiciliario con factura,Desagüe sólo a pozo negro/ciego u hoyo,Bomba de agua de pozo comunitaria,Leña o carbón,Inexistente,NO,Asentamiento,38449,"MULTIPOLYGON (((-54.6110650195028 -26.2780321768653,-54.6117297662934 -26.2780152248663,-54.6126555497088 -26.2794873645555,-54.6131943535366 -26.2793314441979,-54.6142068753948 -26.2807766582206,-54.6144097913568 -26.2815455889503,-54.6136574603379 -26.2817614667969,-54.6110650195028 -26.2780321768653)))"
5220,5586,Parehjá,Misiones,Eldorado,Colonia Victoria,95,86,Década 2000,,Conexión formal a la red con medidor domiciliario con factura,Desagüe sólo a pozo negro/ciego u hoyo,Bomba de agua de pozo comunitaria,Leña o carbón,Inexistente,NO,Asentamiento,131395,"MULTIPOLYGON (((-54.601630914908 -26.2842648606475,-54.6044585135733 -26.2798951285182,-54.6044014640624 -26.2780879648392,-54.6046468639311 -26.2781063915724,-54.6046670996054 -26.2777716720826,-54.6048319493428 -26.2777991417068,-54.6048811802101 -26.2734331735467,-54.6044296253377 -26.2734517583525,-54.604400506191 -26.2726841543479,-54.6048438103156 -26.2726557158344,-54.6047572518378 -26.2697937915852,-54.6052690116096 -26.2696031522004,-54.6068901683661 -26.272051397374,-54.6054902880577 -26.2724150300035,-54.605271054941 -26.2758016030506,-54.6050577275311 -26.2812787795147,-54.6042526569242 -26.2822286096903,-54.6037901721511 -26.2819157859389,-54.6022989629878 -26.2840614902106,-54.6021146386184 -26.2844775226782,-54.601630914908 -26.2842648606475)))"
5221,5587,Puerto Mado,Misiones,Eldorado,María Magdalena,121,110,Década 1950,,Conexión formal a la red con medidor domiciliario con factura,Desagüe sólo a pozo negro/ciego u hoyo,Bomba de agua de pozo comunitaria,Leña o carbón,Inexistente,NO,Asentamiento,394725,"MULTIPOLYGON (((-54.6177124850979 -26.231676687224,-54.617475302259 -26.2309331649272,-54.6179026364707 -26.2307716383402,-54.6186628990233 -26.2307544752582,-54.6187136538399 -26.2302033423722,-54.6195468820299 -26.2301702067648,-54.6206874608849 -26.2298388199736,-54.6205959015939 -26.229379000848,-54.621049871228 -26.2293504773915,-54.6211500691901 -26.2297688571792,-54.6227869508693 -26.2296057874953,-54.6226697221537 -26.2284207612182,-54.6220567226514 -26.2275198121411,-54.6223807244102 -26.2272193794102,-54.6232148886157 -26.2281204993969,-54.6234042705083 -26.228595980405,-54.6239275174516 -26.2281919838913,-54.624957075434 -26.2283143559515,-54.625167704398 -26.2277639859738,-54.6267634560395 -26.2284824680953,-54.6280926882711 -26.2292722624919,-54.6293740913328 -26.23004404039,-54.6302852039428 -26.230415460071,-54.6298750637676 -26.2310494822554,-54.6327365729507 -26.2318345750101,-54.6335727864295 -26.2323408768593,-54.6329356115488 -26.233086592575,-54.6326540424509 -26.2325235994554,-54.6324743066427 -26.2322088251295,-54.6322113512302 -26.2320617757666,-54.6313013593034 -26.2318614120873,-54.6312818303704 -26.2323589309199,-54.6301613113366 -26.232266858853,-54.6280671950303 -26.2329589118474,-54.6277265966044 -26.2317852595474,-54.624561240767 -26.2319983710885,-54.624535643181 -26.2314201516823,-54.6213467575155 -26.2317177274924,-54.6194716632777 -26.2318695281271,-54.6177124850979 -26.231676687224)))"
5222,5588,Delicia Kilómetro 4,Misiones,Eldorado,María Magdalena,330,300,Década 1950,,Conexión formal a la red con medidor domiciliario con factura,Desagüe sólo a pozo negro/ciego u hoyo,Bomba de agua de pozo domiciliaria,Gas en garrafa,Inexistente,NO,Asentamiento,1085185,"MULTIPOLYGON (((-54.5913643575438 -26.1811417741654,-54.5912786296429 -26.181750745676,-54.5927042453262 -26.1830516449269,-54.5932655790183 -26.1822156218669,-54.5939143584149 -26.1825788551829,-54.5933574611386 -26.1835183052115,-54.5954118606905 -26.1839789834548,-54.5964320780723 -26.1840200841346,-54.5969492802462 -26.1840200710011,-54.5972559445438 -26.1841676912291,-54.5975542522947 -26.1848571263031,-54.5981787977404 -26.1861058759331,-54.5984856767125 -26.1863924550379,-54.5988099958634 -26.1864952866496,-54.5999089741433 -26.1868011112924,-54.600460528173 -26.1871464659742,-54.6007297681639 -26.1875176692877,-54.6007379833329 -26.1880723151251,-54.6008216418599 -26.1896758341408,-54.6019217332418 -26.1897489472712,-54.6021441221804 -26.1906165944413,-54.606674233292 -26.1957362477802,-54.6054978860749 -26.1968752802253,-54.604519752477 -26.1966027961643,-54.6040906082158 -26.1961328120678,-54.6027797492084 -26.1942436226296,-54.6021832676812 -26.1945495643199,-54.6004747949914 -26.1918830003933,-54.6002526938257 -26.1907713737397,-54.6000323065235 -26.1881554544901,-54.5992456959614 -26.1871831104284,-54.5985640746046 -26.1875019679954,-54.5978694880033 -26.186551013821,-54.595805021 -26.1875785487966,-54.5955231560621 -26.1902996181809,-54.5948673561855 -26.1904687026086,-54.5920142431612 -26.190792243922,-54.590004012883 -26.1913095611629,-54.5899149962215 -26.1922249858019,-54.5890618743191 -26.1926616148805,-54.5890124131807 -26.1932688378556,-54.5883199006136 -26.1933732499244,-54.5883574485948 -26.1929681370521,-54.5861977746346 -26.1940101333342,-54.5859255236004 -26.1936428748858,-54.5859062862564 -26.1933526680363,-54.5853600824324 -26.1933366279002,-54.5852466751963 -26.1921688700128,-54.5858948933022 -26.1901512601998,-54.5889627322207 -26.1888302308246,-54.589136483446 -26.1873667023624,-54.5892278521351 -26.1864688877234,-54.5894943976844 -26.1843742542599,-54.5896512184804 -26.1826442387535,-54.5897090683069 -26.1815985527986,-54.5896673397867 -26.1804793573222,-54.5895669667991 -26.1799247781951,-54.5897246925311 -26.1797985826698,-54.5899646298761 -26.1797550002003,-54.5902785160792 -26.1798601979978,-54.5913297262395 -26.1804084860011,-54.5913643575438 -26.1811417741654)))"
5223,5589,Aguaray Mini,Misiones,Eldorado,María Magdalena,12,11,Década 2000,,Conexión a la red con medidor comunitario,Desagüe sólo a pozo negro/ciego u hoyo,Bomba de agua de pozo comunitaria,Leña o carbón,Inexistente,NO,Asentamiento,30054,"MULTIPOLYGON (((-54.5911226805878 -26.2080211021581,-54.58975682244 -26.2085707322416,-54.5908104322679 -26.2105829991919,-54.5912194593068 -26.2104332660794,-54.5909510353125 -26.2098252035618,-54.5919206485163 -26.2094691309163,-54.5911226805878 -26.2080211021581)))"
5224,5590,Aguai Poty,Misiones,Eldorado,María Magdalena,39,35,Década 2010,2012,Conexión regular a la red con medidor domiciliario pero sin factura,Desagüe sólo a pozo negro/ciego u hoyo,Bomba de agua de pozo comunitaria,Gas en garrafa,Inexistente,NO,Asentamiento,167509,"MULTIPOLYGON (((-54.588979 -26.206679,-54.5867967105019 -26.2063226143123,-54.5872854289033 -26.2017324944238,-54.591769 -26.202982,-54.588979 -26.206679)))"
