fid,id_renabap,nombre_barrio,provincia,departamento,localidad,cantidad_viviendas_aproximadas,cantidad_familias_aproximada,decada_de_creacion,anio_de_creacion,energia_electrica,efluentes_cloacales,agua_corriente,cocina,calefaccion,titulo_propiedad,clasificacion_barrio,superficie_m2,WKT
5369,5765,Piquirenda Fátima,Salta,General José de San Martín,Aguaray,180,198,Década 2000,,Conexión formal a la red con medidor domiciliario con factura,Desagüe sólo a pozo negro/ciego u hoyo,Bomba de agua de pozo domiciliaria,Gas en garrafa,Leña o carbón,NO,Asentamiento,380281,"MULTIPOLYGON (((-63.7640945348847 -22.3434603575634,-63.7634798739001 -22.3427332171126,-63.7632102345104 -22.3428861538639,-63.7636217431469 -22.3436609251439,-63.7635244710875 -22.3437721500382,-63.7638494241251 -22.3443032962538,-63.7640353326656 -22.3441190423282,-63.7646596140836 -22.3450810417757,-63.7650526377828 -22.3448573215834,-63.7643368473258 -22.34383618393,-63.7640945348847 -22.3434603575634)),((-63.7684846543244 -22.335027665401,-63.7671303335125 -22.3349916592247,-63.7662344532962 -22.3342089162745,-63.7656978835663 -22.3345115805241,-63.7664954087786 -22.3353029104361,-63.7660091234437 -22.3357755469971,-63.7660847419099 -22.3359052314281,-63.765972936736 -22.3367820422131,-63.765634163355 -22.3368299167646,-63.7657894402215 -22.3375717803428,-63.7655352308278 -22.3383944671726,-63.7652947843753 -22.3386559917892,-63.7651837329974 -22.3391235427538,-63.7651456791258 -22.340121496701,-63.7648878100574 -22.3403448978622,-63.7650164671826 -22.3410366428403,-63.7642867906656 -22.3412334828651,-63.7637048521586 -22.3414523939837,-63.7645996029195 -22.3427198311221,-63.7645463119959 -22.3428472589199,-63.7647619278225 -22.3433155224591,-63.7650266154379 -22.3434606744582,-63.7659915864441 -22.3448944793554,-63.7678574629335 -22.34793454074,-63.768346707321 -22.3477633874224,-63.7678134336051 -22.3459918926412,-63.7673976097885 -22.346148816299,-63.7665558757775 -22.3446585960309,-63.767733036508 -22.3441535523821,-63.7678660128001 -22.3443671906035,-63.768782087746 -22.3439361287101,-63.7691299225438 -22.3439026647967,-63.7693172689544 -22.3444744593863,-63.769737439907 -22.3443809664816,-63.7696209494262 -22.3438680902026,-63.7693699075284 -22.3429174150629,-63.7703801105988 -22.3425653026578,-63.7702873640226 -22.3422980846549,-63.769966124541 -22.3423562147923,-63.7697817812873 -22.3418520014172,-63.7690390030377 -22.3420502926468,-63.769201108451 -22.3425855659364,-63.7680400857094 -22.342864394683,-63.7679213399602 -22.3424950610491,-63.7668580566757 -22.3426780240579,-63.766717752278 -22.3414607150738,-63.767913417116 -22.3411984961616,-63.7678203712272 -22.340787761645,-63.7676577850616 -22.3407711746835,-63.7673675941679 -22.339304910787,-63.76849294722 -22.3394022653326,-63.7686528085535 -22.3392055134501,-63.7684276335537 -22.3384846695262,-63.7682890012902 -22.3380523733317,-63.7689182116475 -22.3378228665002,-63.7687723166603 -22.3373938266894,-63.7685199141492 -22.3374832820277,-63.7683917350386 -22.3369316984676,-63.7684407020695 -22.3364038009441,-63.7684846543244 -22.335027665401)))"
5370,5767,Misión La Esperanza,Salta,General José de San Martín,Coronel Cornejo,40,44,Década 1980,,Conexión irregular a la red,Desagüe a cámara séptica y pozo ciego,Acarreo de baldes/recipientes desde fuera del barrio,Leña o carbón,Leña o carbón,NO,Asentamiento,90642,"MULTIPOLYGON (((-63.82590615702 -22.7443545343145,-63.826285970552 -22.7464001966712,-63.8254730363256 -22.7466534056926,-63.8249333013064 -22.7476795685686,-63.8233873935971 -22.7477395391262,-63.8231475113664 -22.7447743282184,-63.82590615702 -22.7443545343145)))"
5371,5768,Moyee Wichi Hikcnay,Salta,General José de San Martín,Coronel Cornejo,15,17,Década 2010,2016,Conexión formal a la red con medidor domiciliario con factura,Desagüe sólo a pozo negro/ciego u hoyo,Conexión irregular a la red de agua,Leña o carbón,Leña o carbón,NO,Asentamiento,31565,"MULTIPOLYGON (((-63.818442060132 -22.7285986122212,-63.8184371641489 -22.7301331064162,-63.8167543814178 -22.7303278652612,-63.8166453245074 -22.7286849088172,-63.818442060132 -22.7285986122212)))"
5372,5769,San José,Salta,General José de San Martín,Coronel Cornejo,155,171,Década 2010,2013,Conexión irregular a la red,Desagüe a cámara séptica y pozo ciego,Conexión regular a la red de agua pero sin factura,Leña o carbón,Leña o carbón,NO,Asentamiento,249598,"MULTIPOLYGON (((-63.8241395002663 -22.7313648556229,-63.8229083631281 -22.7316907957821,-63.8229674631428 -22.7321272266596,-63.8219461255009 -22.7324194033739,-63.8219252816334 -22.7327468111315,-63.8223006698068 -22.7349759680624,-63.8228703674653 -22.7430925748104,-63.8231785194058 -22.7443468077713,-63.8240668016121 -22.7442142797361,-63.8238828959787 -22.742907240041,-63.823776674004 -22.7429207116599,-63.8237398607203 -22.7424944681058,-63.8239393180221 -22.7424551546186,-63.8239129331639 -22.7421792571905,-63.8237826889107 -22.7421974085672,-63.8233375408074 -22.738996563286,-63.8232162699357 -22.7389950138125,-63.8232296756383 -22.7384038001236,-63.8240947593201 -22.7386292041516,-63.8240793367345 -22.7391574093829,-63.8249604431889 -22.7390501854902,-63.8247870371528 -22.7349365754763,-63.8241395002663 -22.7313648556229)))"
5373,5770,La Loma,Salta,General José de San Martín,Embarcación,204,224,Década 1960,,Conexión formal a la red con medidor domiciliario con factura,Desagüe sólo a pozo negro/ciego u hoyo,Camión cisterna,Leña o carbón,Leña o carbón,NO,Asentamiento,214525,"MULTIPOLYGON (((-64.1085111055767 -23.2112090661547,-64.1085591146337 -23.2110908131084,-64.108771168663 -23.2108955667242,-64.1091671638078 -23.2106737625301,-64.1091297671403 -23.2098932557821,-64.1086298800796 -23.2092749972267,-64.109305279503 -23.209155542774,-64.1097078750798 -23.2093752781061,-64.1101192482135 -23.2091213084419,-64.1106010310791 -23.2093307602071,-64.1106859858327 -23.2092533868441,-64.1107921682331 -23.2091101245204,-64.1110067650709 -23.2089433909459,-64.1111425266877 -23.2088899095748,-64.1117315691122 -23.2088681362694,-64.1117790231261 -23.2085556046755,-64.1116889000898 -23.2084313136845,-64.1123151323814 -23.2081011367984,-64.1124710442511 -23.2082954448057,-64.1134483225002 -23.2077650964563,-64.1132094577566 -23.2074422837974,-64.1134777469161 -23.2072621665231,-64.1138643729334 -23.2077664462976,-64.1149020261417 -23.20711373326,-64.1153146802356 -23.2077758396399,-64.115677788054 -23.2076071321783,-64.1160642429179 -23.2082591743024,-64.1170722083798 -23.207906690822,-64.1169920910316 -23.2074570166661,-64.1174994444271 -23.2073375582156,-64.1175868692142 -23.2077060337822,-64.1186858535357 -23.2074285075908,-64.1188715760709 -23.2077358255559,-64.1192288855837 -23.2077951847721,-64.1196305568409 -23.2077612697542,-64.1198748670038 -23.208106355014,-64.1188363363543 -23.2084149140345,-64.1179736913179 -23.2078206008544,-64.1170982233556 -23.2082937093924,-64.1175012194335 -23.209124704189,-64.1169385901861 -23.2093420541719,-64.1167240128324 -23.2088762671367,-64.1160632838756 -23.2090521812349,-64.115947446944 -23.209100473212,-64.1142328203285 -23.2095054036191,-64.1136055671218 -23.2096558157656,-64.1137283737559 -23.2100458892674,-64.1126597159866 -23.210317979119,-64.1125063660963 -23.209961637554,-64.1122141936238 -23.2101152129753,-64.1120607963 -23.2101862154461,-64.1119337113988 -23.2101753946085,-64.1118751476473 -23.2102913571712,-64.1118685522701 -23.2104289753952,-64.112361961321 -23.2112431953288,-64.1123736005614 -23.2113716311677,-64.1123120764137 -23.2114840640401,-64.1121025972884 -23.2115782017123,-64.1115069285533 -23.2117728262577,-64.1112307364491 -23.2118124467751,-64.1105553252865 -23.2117712553702,-64.1103813043234 -23.2117431276184,-64.1100211812377 -23.2117644352585,-64.1097575426453 -23.2117342188951,-64.1094962245436 -23.211655295464,-64.1092673614835 -23.2115122015029,-64.1088122967804 -23.2113332918914,-64.1085111055767 -23.2112090661547)))"
5374,5771,Pastor Semillosa,Salta,General José de San Martín,General Ballivián,80,88,Década 2010,2011,Conexión irregular a la red,Desagüe a cámara séptica y pozo ciego,Camión cisterna,Leña o carbón,Leña o carbón,NO,Asentamiento,88221,"MULTIPOLYGON (((-63.85263688122 -22.9312098658387,-63.8527369346855 -22.9311864341138,-63.8538727096466 -22.9308861593481,-63.8519746668998 -22.9264254463722,-63.8517862229379 -22.9259620495876,-63.8503766304933 -22.9265405395819,-63.8519648314695 -22.9302568600365,-63.8522064073372 -22.9306194803897,-63.8524470993244 -22.9307214341084,-63.85263688122 -22.9312098658387)))"
5375,5772,Tres Lapachos,Salta,General José de San Martín,General Ballivián,40,44,Década 1960,,Conexión formal a la red con medidor domiciliario con factura,Desagüe sólo a pozo negro/ciego u hoyo,Conexión regular a la red de agua pero sin factura,Leña o carbón,Leña o carbón,NO,Asentamiento,222940,"MULTIPOLYGON (((-63.8591735449175 -22.9272442219047,-63.8597984671877 -22.927320105263,-63.8604599382997 -22.9271127957227,-63.8617264633134 -22.9316820670953,-63.8607476241357 -22.9318011151034,-63.8595609046489 -22.9320837234632,-63.8584415726754 -22.932312235211,-63.8574092015824 -22.9325524536026,-63.857022795043 -22.93118016466,-63.8573679294034 -22.9312008071227,-63.8578495465006 -22.9314023028656,-63.8574707217618 -22.9300923372143,-63.8583187217729 -22.9298811888497,-63.8575272347222 -22.927376851476,-63.8568588977675 -22.9255226056605,-63.8579939740422 -22.9251334858051,-63.8591735449175 -22.9272442219047)))"
5376,5773,Quebrachal,Salta,General José de San Martín,General Ballivián,150,165,Década 2000,,Conexión irregular a la red,Desagüe sólo a pozo negro/ciego u hoyo,Camión cisterna,Leña o carbón,Leña o carbón,NO,Asentamiento,326750,"MULTIPOLYGON (((-63.8574700350163 -22.9300920310791,-63.8578441297733 -22.9313936635216,-63.8573669264788 -22.9311948455834,-63.8570144372763 -22.9311739021002,-63.8574061478866 -22.9325591740954,-63.8574691648666 -22.932545015789,-63.8577125325097 -22.9333925771849,-63.8566671920553 -22.933648791018,-63.8564342718667 -22.9327748369119,-63.8548354584659 -22.9331487775941,-63.8539045225618 -22.9309454414026,-63.8568325654046 -22.9302425759716,-63.8565279219732 -22.9291448924969,-63.8534476858007 -22.929883542929,-63.8519746668998 -22.9264254463722,-63.8517862229379 -22.9259620495876,-63.8517180747021 -22.9258246794098,-63.8525793206845 -22.925613258109,-63.8530466736524 -22.9268430794927,-63.8546625100983 -22.9264941938522,-63.8544647283643 -22.9257954266224,-63.8545823187363 -22.9251663879,-63.8565289980626 -22.9246579232531,-63.8568581376337 -22.9255229692292,-63.8575253645932 -22.9273796566695,-63.8583166044815 -22.9298803697814,-63.8574700350163 -22.9300920310791)))"
5377,5774,Yandereta,Salta,General José de San Martín,Profesor Salvador Mazza,90,99,Década 2010,2013,Conexión formal a la red con medidor domiciliario con factura,Desagüe a cámara séptica y pozo ciego,Conexión irregular a la red de agua,Gas en garrafa,Leña o carbón,NO,Asentamiento,59230,"MULTIPOLYGON (((-63.6989251791151 -22.0697796458054,-63.6974022870577 -22.0711967023911,-63.6981625758333 -22.0720362374455,-63.6974689935208 -22.0727346084733,-63.6978225497033 -22.0730744213512,-63.7001110946142 -22.0724136729709,-63.6994145812524 -22.0717338243955,-63.7001237304602 -22.0710826351769,-63.6989251791151 -22.0697796458054)))"
5378,5775,Montecristo,Salta,General José de San Martín,Profesor Salvador Mazza,200,220,Década 2010,2013,Conexión formal a la red con medidor domiciliario con factura,Desagüe a cámara séptica y pozo ciego,Conexión irregular a la red de agua,Gas en garrafa,Gas en garrafa,NO,Asentamiento,124628,"MULTIPOLYGON (((-63.6973484794099 -22.0680949629644,-63.6938842636761 -22.0713767747526,-63.6943920762605 -22.0718699950213,-63.695321606767 -22.0729717148524,-63.6956076161536 -22.0728666501797,-63.6958856926367 -22.0726078990032,-63.6974022870577 -22.0711967023911,-63.6989251791151 -22.0697796458054,-63.6973484794099 -22.0680949629644)))"
5379,5776,San Antonio,Salta,General José de San Martín,Profesor Salvador Mazza,65,72,Década 2010,2013,Conexión formal a la red con medidor domiciliario con factura,Desagüe a cámara séptica y pozo ciego,Camión cisterna,Gas en garrafa,Leña o carbón,NO,Asentamiento,38755,"MULTIPOLYGON (((-63.6974022870577 -22.0711967023911,-63.6958856926367 -22.0726078990032,-63.6956076161536 -22.0728666501797,-63.695321606767 -22.0729717148524,-63.695563096235 -22.0735887870397,-63.6955928614136 -22.0737139873227,-63.6978225497033 -22.0730744213512,-63.6974689935208 -22.0727346084733,-63.6981625758333 -22.0720362374455,-63.6974022870577 -22.0711967023911)))"
5380,5777,Ferroviario,Salta,General José de San Martín,Profesor Salvador Mazza,50,55,Década 2000,,Conexión irregular a la red,Desagüe a cámara séptica y pozo ciego,Conexión irregular a la red de agua,Gas en garrafa,Gas en garrafa,NO,Asentamiento,31290,"MULTIPOLYGON (((-63.7011629438329 -22.059222539979,-63.7022896404914 -22.0589408658144,-63.7022408465416 -22.0586591916498,-63.7007858996756 -22.0589830060437,-63.7008607540304 -22.0592896316599,-63.7009783030912 -22.059912863473,-63.7003406548838 -22.0600193229997,-63.7006433991631 -22.061252479185,-63.7002064715219 -22.0613367596437,-63.7002375222173 -22.0615740756721,-63.7001465880381 -22.0615896010198,-63.700206471522 -22.0619976958724,-63.699783960275 -22.0620708867971,-63.6998726765473 -22.0626198187321,-63.6995715956981 -22.062750120757,-63.699110950479 -22.062817567434,-63.6991562926484 -22.0632241983373,-63.6997506916729 -22.0631310462513,-63.6997063335368 -22.0627406946531,-63.7005291769625 -22.0624656742089,-63.7004759471991 -22.0617448544964,-63.7005668813783 -22.0616960605466,-63.700558009751 -22.0616162159015,-63.7011812415641 -22.0614875773066,-63.7010814357577 -22.0608732171208,-63.7014407366606 -22.060802244103,-63.7012768909335 -22.0600361357239,-63.7011629438329 -22.059222539979)))"
5381,5778,Misión Chorote,Salta,General José de San Martín,Tartagal,150,165,Década 1980,,Conexión formal a la red con medidor domiciliario con factura,Desagüe sólo a pozo negro/ciego u hoyo,Conexión irregular a la red de agua,Gas en garrafa,Leña o carbón,NO,Asentamiento,62547,"MULTIPOLYGON (((-63.7925702073078 -22.5166146290386,-63.7925719532341 -22.5176839297296,-63.7925003593086 -22.5187852223301,-63.7913912147043 -22.5187227052383,-63.7898425409732 -22.5185857210367,-63.7898534804698 -22.5183324648545,-63.7898531523668 -22.5181371139755,-63.7900899466821 -22.5179526176066,-63.7900297325742 -22.5169223366182,-63.7900289695468 -22.5165003814114,-63.7925702073078 -22.5166146290386)))"
5382,5779,Comunidad La Unión,Salta,General José de San Martín,Tartagal,205,226,Década 2010,2014,Conexión irregular a la red,Desagüe sólo a pozo negro/ciego u hoyo,Conexión irregular a la red de agua,Leña o carbón,Leña o carbón,NO,Asentamiento,108641,"MULTIPOLYGON (((-63.7777139257969 -22.5164178969951,-63.7776971476991 -22.5168912790402,-63.7787726735404 -22.5169311133306,-63.7787276920607 -22.5180666355075,-63.7787726456929 -22.5180737941156,-63.7786959673238 -22.5193188595656,-63.777095 -22.519305,-63.7751829794661 -22.5191394666199,-63.7752111995864 -22.5188501219454,-63.7753682571917 -22.5164360963707,-63.7754297076252 -22.5164406672707,-63.775439923739 -22.5162669933364,-63.7777139257969 -22.5164178969951)))"
5383,5780,Santiago Apóstol Sección 2,Salta,La Caldera,La Caldera,55,61,Década 2010,2017,Conexión irregular a la red,Desagüe sólo a pozo negro/ciego u hoyo,Conexión irregular a la red de agua,Leña o carbón,Leña o carbón,NO,Asentamiento,46590,"MULTIPOLYGON (((-65.3866315771657 -24.6166704490903,-65.386161909048 -24.6162319393897,-65.3846461235793 -24.6147589285647,-65.3844658525534 -24.6145244686138,-65.3843565032538 -24.6143076941721,-65.3851407121658 -24.6137714510982,-65.3852442054818 -24.6136404983973,-65.3855092599036 -24.6134836184322,-65.3858094615988 -24.6139363562509,-65.3861635316908 -24.6141269862426,-65.3864906848984 -24.6142941041499,-65.3869553787127 -24.614759679373,-65.3864773429328 -24.6151592843967,-65.3868700081579 -24.6156387079471,-65.3872899907776 -24.6161149863815,-65.3866315771657 -24.6166704490903)))"
5384,5781,El Alto,Salta,La Candelaria,El Jardín,120,132,Década 1990,,Conexión formal a la red con medidor domiciliario con factura,Desagüe sólo a pozo negro/ciego u hoyo,Conexión regular a la red de agua pero sin factura,Gas en garrafa,Leña o carbón,NO,Asentamiento,107842,"MULTIPOLYGON (((-65.3986183490088 -26.0786675998283,-65.3991155395097 -26.0786476345172,-65.3994079213725 -26.0782044240309,-65.399646707301 -26.0783108037553,-65.3999605234418 -26.0785732746931,-65.4002618752966 -26.0787899993767,-65.4007700775848 -26.0783892248822,-65.4009415248503 -26.0781707560119,-65.4013408921951 -26.0780059843671,-65.4012385629203 -26.0777464400117,-65.4010367731631 -26.0777674866752,-65.40047136157 -26.0772428982228,-65.4006024658265 -26.077012479545,-65.3997617337199 -26.0764993098514,-65.3993984359637 -26.076678614257,-65.3992536261737 -26.0767520646145,-65.3991984160671 -26.0768543232037,-65.3992350216634 -26.0769577287394,-65.3993370735055 -26.0770975467786,-65.3993559578703 -26.0771829950363,-65.3992819736541 -26.0772374540667,-65.3991073226795 -26.0771947496448,-65.3988830056634 -26.0770706702412,-65.3983186016438 -26.0775810995233,-65.3983958776636 -26.0781105880317,-65.398479505019 -26.0781197758956,-65.3986183490088 -26.0786675998283)),((-65.3995418804256 -26.0802853441695,-65.4003162088051 -26.0795656026636,-65.4002347562612 -26.0794860884973,-65.3998662684497 -26.0794280940865,-65.3991857321102 -26.0796025274967,-65.3988226102328 -26.0792052280284,-65.3984502055708 -26.0795171626298,-65.3978826530899 -26.0799330122125,-65.3977730665169 -26.0798884553692,-65.3970166699063 -26.0786732009183,-65.3966832223424 -26.0788118104427,-65.3969696286656 -26.0791857679107,-65.3972084194958 -26.0795262405805,-65.3972695071452 -26.0796787791189,-65.3975419697883 -26.0800494656087,-65.3972224206565 -26.0802524790971,-65.3970555557577 -26.0803492718159,-65.3968558090955 -26.0803843739543,-65.3963175331172 -26.0799492724776,-65.3960403641981 -26.0796600346951,-65.3959868890847 -26.0795054841978,-65.3957699970736 -26.0793043185454,-65.3953340605039 -26.0790070765769,-65.3951115878751 -26.0793593676944,-65.3948311064706 -26.0796601004378,-65.3958556872861 -26.0803572877195,-65.3960013516586 -26.0803180915561,-65.3965436404898 -26.0807237838271,-65.3978626975254 -26.0816532981465,-65.3986368570759 -26.0810766486321,-65.3986880438324 -26.0809830677559,-65.3995418804256 -26.0802853441695)))"
5385,5782,Virgen Del Valle,Salta,La Candelaria,El Tala,75,83,Década 2010,2015,Conexión formal a la red con medidor domiciliario con factura,Desagüe a cámara séptica y pozo ciego,Conexión irregular a la red de agua,Gas en garrafa,Leña o carbón,NO,Asentamiento,78957,"MULTIPOLYGON (((-65.286360249415 -26.1131845046687,-65.2864607159909 -26.1132205934354,-65.2870968858809 -26.1137475839454,-65.2872508652746 -26.115523408811,-65.2870283669107 -26.1155320985513,-65.2869066282822 -26.1145953213415,-65.2864349535453 -26.1145619364616,-65.2860994456571 -26.1145691405413,-65.2854238591945 -26.1139846412825,-65.2843215479639 -26.1129938105251,-65.2830779951999 -26.1117544904402,-65.2832933683347 -26.1115745404516,-65.2823118561575 -26.1106507985108,-65.2830528083321 -26.1100373902889,-65.286360249415 -26.1131845046687)))"
5386,5783,La Candelaria,Salta,La Viña,Coronel Moldes,42,46,Década 1990,,Conexión a la red con medidor comunitario,Desagüe a cámara séptica y pozo ciego,Conexión formal a la red de agua con factura,Gas en garrafa,Leña o carbón,NO,Asentamiento,70314,"MULTIPOLYGON (((-65.4870588111929 -25.2745266632723,-65.4859451588135 -25.2748834508234,-65.4854027651519 -25.274998385486,-65.4851459279605 -25.2751048789737,-65.4845609712081 -25.2752618910733,-65.4842236778696 -25.2753205788731,-65.48358890703 -25.2754578338185,-65.4823368803196 -25.2757122748619,-65.4823541010583 -25.2753079634182,-65.4823329936979 -25.2751747043831,-65.4820306453405 -25.2744020502658,-65.481804156031 -25.273771689855,-65.4814769731024 -25.2729482541965,-65.4812428567876 -25.2724593539225,-65.481856757477 -25.2720950855198,-65.4823896115446 -25.2717966620655,-65.4830992074668 -25.2728850469646,-65.4825591665157 -25.2731610812541,-65.4831147041041 -25.2740347647234,-65.483628021318 -25.2748248549016,-65.4839151967755 -25.2747768812998,-65.4840110502503 -25.2749025181304,-65.4856390796139 -25.2745317910387,-65.4869737831541 -25.27422407981,-65.4875376921542 -25.2741390576363,-65.4878823003362 -25.2742251046296,-65.4878975466458 -25.2742912423385,-65.4870588111929 -25.2745266632723)))"
5387,5784,Chañarcito,Salta,Los Andes,San Antonio De Los Cobres,200,220,Década 1970,,Conexión formal a la red con medidor domiciliario con factura,Desagüe sólo a pozo negro/ciego u hoyo,Camión cisterna,Gas en garrafa,Leña o carbón,NO,Asentamiento,135085,"MULTIPOLYGON (((-66.32269953736 -24.2221286423224,-66.3233222786893 -24.2218943779187,-66.3236019993677 -24.2219446217821,-66.3236347519217 -24.2218808666837,-66.3240581440802 -24.2217975653427,-66.3242783525387 -24.2217120122354,-66.3246379754132 -24.2220830551236,-66.3249957502903 -24.2222009296382,-66.3250311558835 -24.2223964781674,-66.3251213258131 -24.2224091231405,-66.3249462058089 -24.2230248381937,-66.3248510170214 -24.2231741839974,-66.3246584619371 -24.2241689234982,-66.3245467400073 -24.2247303686016,-66.3241239832902 -24.22475882742,-66.3241011378304 -24.2255417197644,-66.323312763466 -24.2255600454403,-66.3233069 -24.2261638,-66.3232539 -24.2265598,-66.3231059 -24.2269638,-66.3231509 -24.2273218,-66.3230879 -24.2276288,-66.3228979 -24.2280438,-66.3226179 -24.2282708,-66.3222999 -24.2285188,-66.3221099 -24.2287038,-66.3220305893113 -24.2300287313846,-66.3215914115792 -24.2299933443669,-66.3211045391912 -24.2286780923268,-66.321139103978 -24.2285515247308,-66.321687367775 -24.2276136905801,-66.321988327251 -24.2277580037028,-66.3221048623321 -24.2274416500594,-66.3221565650546 -24.2270878340864,-66.322473751578 -24.2271110565569,-66.3223286457744 -24.2256636559984,-66.3223113743603 -24.2252904134965,-66.3223945102834 -24.2252654238257,-66.322337181042 -24.2247071640583,-66.3224913479267 -24.2246811369106,-66.3224788320034 -24.2240547500275,-66.3224798008219 -24.223376942452,-66.3226409506901 -24.2226847247025,-66.32269953736 -24.2221286423224)))"
5388,5785,Alto Molino,Salta,Los Andes,San Antonio De Los Cobres,90,99,Década 2010,2016,Conexión formal a la red con medidor domiciliario con factura,Desagüe a cámara séptica y pozo ciego,Canilla comunitaria dentro del barrio,Gas en garrafa,Leña o carbón,NO,Asentamiento,156871,"MULTIPOLYGON (((-66.3148629200718 -24.2109304865025,-66.3150837118725 -24.2115739675082,-66.3136439409928 -24.2119692713453,-66.3134517534925 -24.2113510601128,-66.3123107315478 -24.2116306461883,-66.3121352476903 -24.2110777160256,-66.311620001516 -24.211223654692,-66.3110872418862 -24.2095239787255,-66.3104867976332 -24.2074419749195,-66.3110071172588 -24.207338391629,-66.3110190274587 -24.2073758622828,-66.3133759915775 -24.2068975959537,-66.3139044805282 -24.2084771450989,-66.3144846434327 -24.2102417775023,-66.3145934729362 -24.210344158785,-66.3148629200718 -24.2109304865025)))"
5389,5786,Toconadito,Salta,Los Andes,San Antonio De Los Cobres,10,11,Década 1960,,Conexión formal a la red con medidor domiciliario con factura,Desagüe a cámara séptica y pozo ciego,Conexión regular a la red de agua pero sin factura,Gas en garrafa,Leña o carbón,NO,Asentamiento,13741,"MULTIPOLYGON (((-66.3288283069893 -24.2341978794836,-66.3287150707589 -24.2342680285484,-66.3284449219189 -24.23444639446,-66.3278950063855 -24.2346732521133,-66.3274112962337 -24.2348414673158,-66.3271574661953 -24.2348169529892,-66.3266461379943 -24.2342268788496,-66.3263209797934 -24.2339276803729,-66.3262575927254 -24.2337433889578,-66.3265088710792 -24.2337002421639,-66.3268772247847 -24.2340372418024,-66.3273944732303 -24.2345156778438,-66.3282729958139 -24.2339557387225,-66.3287912490869 -24.2336684077891,-66.3290519799603 -24.2339268004684,-66.3288283069893 -24.2341978794836)))"
